RegionName,NumValue,Time,CountryCode,Location
Saint Vincent and the Grenadines,,2020,VCT,"(41.694867, -8.831088)"
Suriname,0.0,2020,SUR,"(3.48470445, -76.40282227396737)"
Trinidad and Tobago,,2020,TTO,"(45.81380745, -97.74395892099608)"
Turks and Caicos Islands,,2020,TCA,"(-19.6305093, 134.18226892859178)"
Canada,0.0,2021,CAN,"(49.1813403, -0.3635615)"
United States,0.0,2021,USA,"(39.7837304, -100.445882)"
Belize,737.0,2021,BLZ,"(16.8259793, -88.7600927)"
Costa Rica,34.0,2021,CRI,"(19.7589517, 99.6734592)"
El Salvador,110.0,2021,SLV,"(37.26398255, -8.348731138182709)"
Guatemala,2196.0,2021,GTM,"(51.34473215, 12.285764313430338)"
Honduras,31.0,2021,HND,"(22.3511148, 78.6677428)"
Mexico,4.0,2021,MEX,"(19.4839446, -99.6899716)"
Nicaragua,12.0,2021,NIC,"(40.9357176, 47.6645465)"
Panama,,2021,PAN,"(35.4338536, 69.7930899)"
Colombia,70.0,2021,COL,"(50.938361, 6.959974)"
Ecuador,0.0,2021,ECU,"(52.5352133, 5.7102021)"
Peru,475.0,2021,PER,"(39.6370289, -82.2044367)"
Argentina,0.0,2021,ARG,"(31.1845678, -7.9196835)"
Brazil,132587.0,2021,BRA,"(44.6976778, 7.8542707)"
Chile,0.0,2021,CHL,"(-31.7613365, -71.3187697)"
Paraguay,303.0,2021,PRY,"(50.273814, 4.4326804)"
Uruguay,0.0,2021,URY,"(48.342555, 2.6048701)"
Cuba,,2021,CUB,"(38.16521, -7.89253)"
Dominican Republic,,2021,DOM,"(46.1152451, 8.2920459)"
Puerto Rico,0.0,2021,PRI,"(45.0819456, 134.726645)"
Anguilla,,2021,AIA,"(43.236547, -2.1486667)"
Antigua and Barbuda,,2021,ATG,"(14.6495224, 100.3170382)"
Aruba,,2021,ABW,"(11.129167, 42.919722)"
Bahamas,,2021,BHS,"(23.5225788, 77.8148001)"
Barbados,4.0,2021,BRB,"(38.8057942, -7.4542105)"
Bermuda,,2021,BMU,"(-8.5379181, 118.6857460933394)"
Cayman Islands,,2021,CYM,"(-33.00910825, -60.75298283422084)"
Curaçao,,2021,CUW,
Dominica,,2021,DMA,"(32.17079565, -110.86990239630313)"
French Guiana,,2021,GUF,"(30.2891556, -87.66624770262722)"
Grenada,,2021,GRD,"(40.5378408, -7.2662964)"
Guadeloupe,,2021,GLP,"(17.1516758, 82.2904779)"
Guyana,,2021,GUY,"(29.3441332, -95.7830058)"
Haiti,0.0,2021,HTI,"(-20.3522845, 148.9480748)"
Jamaica,0.0,2021,JAM,"(22.4930279, 70.0535096)"
Martinique,,2021,MTQ,"(45.7984078, -74.01642739712129)"
Montserrat,,2021,MSR,"(26.2540493, 29.2675469)"
Saint Kitts and Nevis,,2021,KNA,"(-32.94919415, -71.47885980024215)"
Saint Lucia,1.0,2021,LCA,"(22.2967657, 104.0566164)"
Saint Vincent and the Grenadines,,2021,VCT,"(41.694867, -8.831088)"
Suriname,0.0,2021,SUR,"(3.48470445, -76.40282227396737)"
Trinidad and Tobago,,2021,TTO,"(45.81380745, -97.74395892099608)"
Turks and Caicos Islands,,2021,TCA,"(-19.6305093, 134.18226892859178)"
Canada,0.0,2022,CAN,"(49.1813403, -0.3635615)"
United States,0.0,2022,USA,"(39.7837304, -100.445882)"
Belize,,2022,BLZ,"(16.8259793, -88.7600927)"
Costa Rica,25.0,2022,CRI,"(19.7589517, 99.6734592)"
El Salvador,154.0,2022,SLV,"(37.26398255, -8.348731138182709)"
Guatemala,1800.0,2022,GTM,"(51.34473215, 12.285764313430338)"
Honduras,44.0,2022,HND,"(22.3511148, 78.6677428)"
Mexico,2.0,2022,MEX,"(19.4839446, -99.6899716)"
Nicaragua,4.0,2022,NIC,"(40.9357176, 47.6645465)"
Panama,2.0,2022,PAN,"(35.4338536, 69.7930899)"
Colombia,94.0,2022,COL,"(50.938361, 6.959974)"
Ecuador,0.0,2022,ECU,"(52.5352133, 5.7102021)"
Peru,595.0,2022,PER,"(39.6370289, -82.2044367)"
Argentina,0.0,2022,ARG,"(31.1845678, -7.9196835)"
Brazil,265289.0,2022,BRA,"(44.6976778, 7.8542707)"
Chile,0.0,2022,CHL,"(-31.7613365, -71.3187697)"
Paraguay,2443.0,2022,PRY,"(50.273814, 4.4326804)"
Uruguay,0.0,2022,URY,"(48.342555, 2.6048701)"
Cuba,,2022,CUB,"(38.16521, -7.89253)"
Dominican Republic,,2022,DOM,"(46.1152451, 8.2920459)"
Puerto Rico,0.0,2022,PRI,"(45.0819456, 134.726645)"
Anguilla,,2022,AIA,"(43.236547, -2.1486667)"
Antigua and Barbuda,,2022,ATG,"(14.6495224, 100.3170382)"
Aruba,,2022,ABW,"(11.129167, 42.919722)"
Bahamas,,2022,BHS,"(23.5225788, 77.8148001)"
Barbados,0.0,2022,BRB,"(38.8057942, -7.4542105)"
Bermuda,,2022,BMU,"(-8.5379181, 118.6857460933394)"
Cayman Islands,,2022,CYM,"(-33.00910825, -60.75298283422084)"
Curaçao,,2022,CUW,
Dominica,,2022,DMA,"(32.17079565, -110.86990239630313)"
French Guiana,,2022,GUF,"(30.2891556, -87.66624770262722)"
Grenada,,2022,GRD,"(40.5378408, -7.2662964)"
Guadeloupe,0.0,2022,GLP,"(17.1516758, 82.2904779)"
Guyana,,2022,GUY,"(29.3441332, -95.7830058)"
Haiti,,2022,HTI,"(-20.3522845, 148.9480748)"
Jamaica,0.0,2022,JAM,"(22.4930279, 70.0535096)"
Martinique,0.0,2022,MTQ,"(45.7984078, -74.01642739712129)"
Montserrat,,2022,MSR,"(26.2540493, 29.2675469)"
Saint Kitts and Nevis,,2022,KNA,"(-32.94919415, -71.47885980024215)"
Saint Lucia,0.0,2022,LCA,"(22.2967657, 104.0566164)"
Saint Vincent and the Grenadines,,2022,VCT,"(41.694867, -8.831088)"
Suriname,0.0,2022,SUR,"(3.48470445, -76.40282227396737)"
Trinidad and Tobago,,2022,TTO,"(45.81380745, -97.74395892099608)"
Turks and Caicos Islands,,2022,TCA,"(-19.6305093, 134.18226892859178)"
