"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chikungunya virus disease","All cases","Reported cases","N","2020","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","NL","Netherlands",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","PT","Portugal",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","SE","Sweden",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2020","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","AT","Austria",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","BE","Belgium",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","DE","Germany",4.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","ES","Spain",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","EU_EEA31","EU/EEA",13.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","EU28","EU",13.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","FR","France",4.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","IT","Italy",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","LI","Liechtenstein",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","NL","Netherlands",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","PT","Portugal",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","SE","Sweden",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2021","SK","Slovakia",0.000000000,""
